Year	Competition	Venue	Position	Event	Notes
Representing Spain	Representing Spain	Representing Spain	Representing Spain	Representing Spain	Representing Spain
2000	World Junior Championships	Santiago, Chile	5th (heats)	800m	1:51.65
2002	European Indoor Championships	Vienna, Austria	19th (heats)	800m	1:51.95
2002	World Junior Championships	Kingston, Jamaica	8th	800m	1:56.73
2003	European Indoor Cup	Leipzig, Germany	5th	800m	1:49.55
2003	European U23 Championships	Bydgoszcz, Poland	3rd	800m	1:46.83
2003	World Championships	Paris, France	4th (heats)	800 m	1:47.98
2004	Olympic Games	Athens, Greece	4th (heats)	800 m	1:47.71
2005	European U23 Championships	Erfurt, Germany	2nd	800m	1:51.47
2006	European Championships	Gothenburg, Sweden	12th (semis)	800m	1:49.37
2007	European Indoor Championships	Birmingham, United Kingdom	12th (heats)	800m	1:54.54
2007	World Championships	Osaka, Japan	5th (semis)	800 m	1:45.61
2007	IAAF World Athletics Final	Stuttgart, Germany	6th	800m	1:47.06
2008	World Indoor Championships	Valencia, Spain	5th (semis)	800 m	1:48.90
2008	Olympic Games	Beijing, China	4th (semis)	800 m	1:45.91
2009	European Indoor Championships	Turin, Italy	5th	800 m	1:49.77
2009	World Championships	Berlin, Germany	—	800 m	DNF
2010	European Championships	Barcelona, Spain	3rd	1500 m	3:43.54
2011	European Indoor Championships	Paris, France	1st	1500 m	3:41.03
2011	European Team Championships	Stockholm, Sweden	1st	1500 m	3:38.63
