Year	Competition	Venue	Position	Event	Notes
Representing India	Representing India	Representing India	Representing India	Representing India	Representing India
2008	Asian Junior Championships	Jakarta, Indonesia	2nd	800 m	2:08.63
2008	World Junior Championships	Bydgoszcz, Poland	8th (sf)	800m	2:06.51
2008	World Junior Championships	Bydgoszcz, Poland	14th (h)	4 × 400 m relay	3:44.13
2009	Asian Championships	Guangzhou, China	6th	800 m	2:07.36
2010	Commonwealth Games	Delhi, India	6th	800 m	2:01.25
2010	Asian Games	Guangzhou, China	3rd	800 m	2:01.36
2011	Asian Championships	Kobe, Japan	3rd	800 m	2:02.55
2011	Asian Championships	Kobe, Japan	2nd	4 × 400 m relay	3:44.17
2011	World Championships	Daegu, South Korea	15th (sf)	800 m	2:00.95
2012	Olympic Games	London, United Kingdom	10th (sf)	800 m	1:59.61
2013	Asian Championships	Pune, India	3rd	800 m	2:04.48
2013	Asian Championships	Pune, India	1st	4 × 400 m relay	3:32.26
2013	World Championships	Moscow, Russia	15th (h)	4 × 400 m relay	3:38.81
2014	Commonwealth Games	Glasgow, United Kingdom	11th (sf)	800 m	2:03.35
2014	Asian Games	Incheon, South Korea	2nd	800 m	1:59.19
2014	Asian Games	Incheon, South Korea	1st	4 × 400 m relay	3:28.68 GR
2015	Asian Championships	Wuhan, China	1st	800 m	2:01.53
2015	Asian Championships	Wuhan, China	2nd	4 × 400 m relay	3:33.81
2015	World Championships	Beijing, China	19th (h)	800 metres	2:00.95
2015	World Championships	Beijing, China	14th (h)	4 × 400 m relay	3:29.08
2016	Olympic Games	Rio de Janeiro, Brazil	29th (h)	800 m	2:00.58
