Year	Competition	Venue	Position	Event	Notes
Representing Morocco	Representing Morocco	Representing Morocco	Representing Morocco	Representing Morocco	Representing Morocco
2003	World Youth Championships	Sherbrooke, Canada	21st (h)	800 m	2:12.66
2004	World Junior Championships	Grosseto, Italy	9th	800 m	2:09.26
2005	World Cross Country Championships	Saint-Galmier, France	31st	Junior race (6.153 km)	22:42
2005	World Youth Championships	Marrakech, Morocco	4th	800 m	2:08.61
2005	Francophonie Games	Niamey, Niger	4th	800 m	2:09.64
2005	Francophonie Games	Niamey, Niger	3rd	4 × 400 m relay	3:42.48
2006	World Junior Championships	Beijing, China	12th (sf)	800 m	2:07.07
2007	World Cross Country Championships	Mombasa, Kenya	46th	Junior race (6 km)	24:01
2007	African Junior Championships	Ouagadougou, Burkina Faso	2nd	800 m	2:06.13
2007	African Junior Championships	Ouagadougou, Burkina Faso	3rd	1500 m	4:20.91
2007	Pan Arab Games	Cairo, Egypt	3rd	800 m	2:09.50
2008	African Championships	Addis Ababa, Ethiopia	4th	800 m	2:04.74
2009	Mediterranean Games	Pescara, Italy	2nd	800 m	2:00.91
2009	World Championships	Berlin, Germany	23rd (sf)	800 m	DNF
2009	Francophonie Games	Beirut, Lebanon	2nd	800 metres	2:02.76
2009	Francophonie Games	Beirut, Lebanon	3rd	4 × 400 m relay	3:37.72
2010	World Indoor Championships	Doha, Qatar	8th (h)	800 m	2:03.81
2010	African Championships	Nairobi, Kenya	8th	800 m	DNF
2011	World Championships	Daegu, South Korea	24th (sf)	800 m	DNF
2012	Olympic Games	London, Great Britain	11th (sf)	800 m	11th
2013	World Championships	Moscow, Russia	11th (sf)	800 m	11th
